p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
0	5.3340646333781	0.605	0.033	0	telencephalon	si:ch73-215f7.1	17.8235294117647
0	4.66651523973921	0.467	0.027	0	telencephalon	emx3	16.7142857142857
1.55615962926528e-296	6.46702960169475	0.349	0.015	4.08927627378329e-292	telencephalon	bcl11ba	21.875
2.85665379921294e-283	3.94851868648106	0.5	0.047	7.50671485357176e-279	telencephalon	foxg1a	10.4375
7.43026318020943e-203	4.61018112205968	0.357	0.032	1.95252455849543e-198	telencephalon	gria1a	10.8484848484848
2.78431381178583e-192	3.5778823963745	0.514	0.085	7.31661983461079e-188	telencephalon	si:ch211-263k4.2	5.98837209302326
2.17586867576746e-184	3.92545680798942	0.585	0.126	5.71774770618173e-180	telencephalon	nfia	4.61417322834646
5.0909690199604e-182	2.39962733217039	0.878	0.358	1.33780483906519e-177	telencephalon	ek1	2.44846796657382
5.29670745635335e-172	4.6029360252536	0.25	0.016	1.39186878538053e-167	telencephalon	lmo1	14.7647058823529
1.57915101258874e-168	3.4739629302391	0.479	0.084	4.1496930308807e-164	telencephalon	dab1a	5.64705882352941
1.73782618970543e-164	4.04970412048101	0.486	0.089	4.56665966130792e-160	telencephalon	myt1b	5.41111111111111
1.02838304679676e-163	2.82100765206702	0.649	0.171	2.70238497037253e-159	telencephalon	pou2f2a.1	3.77906976744186
4.65283886772254e-147	4.74440483965469	0.176	0.007	1.22267299766013e-142	telencephalon	znf296	22.125
3.41233795992762e-129	4.57440599207002	0.2	0.014	8.9669416910978e-125	telencephalon	cacna1g	13.4
9.06956668955862e-129	2.27332926544994	0.694	0.239	2.38330073468221e-124	telencephalon	sox5	2.89583333333333
4.45891782276e-128	7.86546482973509	0.107	0.001	1.17171442546487e-123	telencephalon	eomesa	54
2.89349930653564e-126	3.0557285604226	0.38	0.067	7.60353747771435e-122	telencephalon	cxcl12a	5.60294117647059
5.77747106953667e-124	2.17286355381693	0.628	0.19	1.51820384765285e-119	telencephalon	lhx2b	3.29319371727749
7.59973378107791e-119	3.59336411448734	0.415	0.088	1.99705804299165e-114	telencephalon	myt1a	4.67415730337079
8.13411960474758e-114	2.11494447473854	0.791	0.421	2.13748394973557e-109	telencephalon	nexmifb	1.87677725118483
2.98054498105001e-111	3.58759013031226	0.205	0.019	7.83227610120321e-107	telencephalon	dmrta2	10.3
3.89453866228593e-106	3.10706278967037	0.335	0.06	1.0234068696755e-101	telencephalon	bcl11aa	5.50819672131148
1.96100208392729e-105	3.33803755531738	0.355	0.07	5.15312127614414e-101	telencephalon	kirrel3a	5.01408450704225
