Taxid	Organism	Species Name	Version
9606	human	Homo sapiens	v7.0
9544	rhesus	Macaca mulatta	v7.0
10090	mouse	Mus musculus	v7.0
10116	rat	Rattus norvegicus	v7.0
9823	pig	Sus scrofa	v7.0
9615	dog	Canis lupus familiaris	v7.0
9031	chicken	Gallus gallus	v7.0
59729	zebrafinch	Taeniopygia guttata	v7.0
8364	frog	Xenopus tropicalis	v7.0
8355	laevis	Xenopus laevis	v7.0
7955	zebrafish	Danio rerio	v7.0
31033	fugu	Takifugu rubripes	v7.0
7757	lamprey	Petromyzon marinus	v7.0
7719	ciona	Ciona intestinalis	v7.0
7668	urchin	Strongylocentrotus purpuratus	v7.0
7227	fly	Drosophila melanogaster	v7.0
180454	mosquito	Anopheles gambiae	v7.0
7460	bee	Apis mellifera	v7.0
6239	worm	Caenorhabditis elegans	v7.0
45351	anemone	Nematostella vectensis	v7.0
6087	hydra	Hydra vulgaris	v7.0
6500	seahare	Aplysia californica	v7.0
559292	yeast	Saccharomyces cerevisiae	v7.0
4896	pombe	Schizosaccharomyces pombe	v7.0
367110	ncrassa	Neurospora crassa	v7.0
597362	mushroom	Agaricus bisporus	v7.0
3702	arabidopsis	Arabidopsis thaliana	v7.0
3218	patens	Physcomitrella patens	v7.0
39947	rice	Oryza sativa	v7.0
4577	corn	Zea mays	v7.0
4081	tomato	Solanum lycopersicum	v7.0
3055	chlamy	Chlamydomonas reinhardtii	v7.0
3068	volvox	Volvox carteri	v7.0
352472	dicty	Dictyostelium discoideum	v7.0
556484	diatom	Phaeodactylum tricornutum	v7.0
312017	ciliate	Tetrahymena thermophila	v7.0
88036	selaginella	Selaginella moellendorffii	v7.0
296543	pseudonana	Thalassiosira pseudonana	v7.0
246410	cocci	Coccidioides immitis RS	v7.0
