#Genome(UCSC version)	Organism(Should match taxids.txt file)	Version(start with 'v' for homer version, other for custom)
hg38	human	v7.0
hg19	human	v7.0
hg18	human	v7.0
hg17	human	v7.0
panTro6	human	v7.0
papAnu4	human	v7.0
panPan3	human	v7.0
gorGor6	human	v7.0
rheMac10	rhesus	v7.0
mm39	mouse	v7.0
mm10	mouse	v7.0
mm9	mouse	v7.0
rn7	rat	v7.0
rn6	rat	v7.0
susScr11	pig	v7.0
canFam6	dog	v7.0
canFam5	dog	v7.0
galGal6	chicken	v7.0
taeGut2	zebrafinch	v7.0
xenLae2	frog	v7.0
xenTro10	frog	v7.0
danRer11	zebrafish	v7.0
danRer10	zebrafish	v7.0
tetNig2	fugu	v7.0
fr3	fugu	v7.0
petMar3	lamprey	v7.0
ci3	ciona	v7.0
ci2	ciona	v7.0
strPur2	urchin	v7.0
dm6	fly	v7.0
dm3	fly	v7.0
anoGam3	mosquito	v7.0
anoGam1	mosquito	v7.0
apiMel3	bee	v7.0
apiMel2	bee	v7.0
ce11	worm	v7.0
ce10	worm	v7.0
ce6	worm	v7.0
sacCer3	yeast	v7.0
sacCer2	yeast	v7.0
