MT-TF	MT-TF
MT-RNR1	MT-RNR1
MT-TV	MT-TV
MT-RNR2	MT-RNR2
MT-TL1	MT-TL1
MT-ND1	MT-ND1
MT-TI	MT-TI
MT-TQ	MT-TQ
MT-TM	MT-TM
MT-ND2	MT-ND2
MT-TW	MT-TW
MT-TA	MT-TA
MT-TN	MT-TN
MT-TC	MT-TC
MT-TY	MT-TY
MT-CO1	MT-CO1
MT-TS1	MT-TS1
MT-TD	MT-TD
MT-CO2	MT-CO2
MT-TK	MT-TK
MT-ATP8	MT-ATP8
MT-ATP6	MT-ATP6
MT-CO3	MT-CO3
MT-TG	MT-TG
MT-ND3	MT-ND3
MT-TR	MT-TR
MT-ND4L	MT-ND4L
MT-ND4	MT-ND4
MT-TH	MT-TH
MT-TS2	MT-TS2
MT-TL2	MT-TL2
MT-ND5	MT-ND5
MT-ND6	MT-ND6
MT-TE	MT-TE
MT-CYB	MT-CYB
MT-TT	MT-TT
MT-TP	MT-TP
5S_rRNA	5S_rRNA
U6	U6
5_8S_rRNA	5_8S_rRNA
RNA5-8SN5	RNA5-8SN5
5_8S_rRNA	5_8S_rRNA
U6	U6
Y_RNA	Y_RNA
U1	U1
MAFIP	MAFIP
U2	U2
RNA5-8SN4	RNA5-8SN4
5_8S_rRNA	5_8S_rRNA
U1	U1
Y_RNA	Y_RNA
U2	U2
RNU1-62P	RNU1-62P
MTCO3P47	MTCO3P47
RNA5SP136	RNA5SP136
RYBP	RYBP
GCGR	GCGR
RPL23AP45	RPL23AP45
MCRIP1	MCRIP1
Y_RNA	Y_RNA
RNU6-409P	RNU6-409P
ACR	ACR
C8orf33	C8orf33
SNRPA1P2	SNRPA1P2
LINC01784	LINC01784
SHANK3	SHANK3
PRAMEF11	PRAMEF11
PRAMEF30P	PRAMEF30P
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7
RNU6-1072P	RNU6-1072P
PRAMEF29P	PRAMEF29P
PRAMEF6	PRAMEF6
PPP1R27	PPP1R27
PRAMEF28P	PRAMEF28P
PRAMEF27	PRAMEF27
HNRNPCL3	HNRNPCL3
PRAMEF25	PRAMEF25
PRAMEF34P	PRAMEF34P
PRAMEF35P	PRAMEF35P
LINC02688	LINC02688
HNRNPCL2	HNRNPCL2
MUC5AC	MUC5AC
PRAMEF36P	PRAMEF36P
MUC2	MUC2
PRAMEF26	PRAMEF26
HNRNPCL4	HNRNPCL4
PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18
PRAMEF31P	PRAMEF31P
PRAMEF5	PRAMEF5
PRAMEF32P	PRAMEF32P
RNU6-771P	RNU6-771P
PRAMEF8	PRAMEF8
PRAMEF33	PRAMEF33
PRAMEF22	PRAMEF22
CNTNAP3C	CNTNAP3C
RN7SL462P	RN7SL462P
OR9G1	OR9G1
OR9G9	OR9G9
OR9G3P	OR9G3P
OR9G4	OR9G4
OR9G2P	OR9G2P
OR5G1P	OR5G1P
BCL2L14	BCL2L14
OR5G4P	OR5G4P
OR5G5P	OR5G5P
OR5G3	OR5G3
LINC02735	LINC02735
PTMAP9	PTMAP9
MIR1244-4	MIR1244-4
LRP6	LRP6
SYT15B	SYT15B
NPY4R2	NPY4R2
FAM25C	FAM25C
AGAP12P	AGAP12P
RNA5SP315	RNA5SP315
BMS1P7	BMS1P7
TOLLIP	TOLLIP
TOLLIP-DT	TOLLIP-DT
LINC02689	LINC02689
BRSK2	BRSK2
RPL21P100	RPL21P100
RNU6-545P	RNU6-545P
RNU6-318P	RNU6-318P
MANSC1	MANSC1
DUSP8	DUSP8
KRTAP5-AS1	KRTAP5-AS1
RPL23AP66	RPL23AP66
KRTAP5-1	KRTAP5-1
LOH12CR2	LOH12CR2
KRTAP5-2	KRTAP5-2
KRTAP5-3	KRTAP5-3
KRTAP5-4	KRTAP5-4
KRTAP5-5	KRTAP5-5
BORCS5	BORCS5
FAM99A	FAM99A
FAM99B	FAM99B
LINC02708	LINC02708
MOB2	MOB2
DUSP16	DUSP16
HMX1	HMX1
Y_RNA	Y_RNA
RBMY3AP	RBMY3AP
CDY3P	CDY3P
TSPY25P	TSPY25P
USP9YP22	USP9YP22
TSPY16P	TSPY16P
USP9YP4	USP9YP4
ELOCP4	ELOCP4
RBMY1A3P	RBMY1A3P
LINC03015	LINC03015
TTTY20	TTTY20
TSPY8	TSPY8
FAM197Y7	FAM197Y7
TSPY4	TSPY4
TSPY9	TSPY9
FAM197Y2	FAM197Y2
FAM197Y4	FAM197Y4
FAM197Y8	FAM197Y8
LINC03014	LINC03014
FAM197Y8	FAM197Y8
FAM20C	FAM20C
SERTAD4-AS1	SERTAD4-AS1
SERTAD4	SERTAD4
OR4C12	OR4C12
OR4C48P	OR4C48P
ST13P19	ST13P19
OR4C49P	OR4C49P
OR4C45	OR4C45
HHAT	HHAT
GRK1	GRK1
LINC00552	LINC00552
RNU5A-8P	RNU5A-8P
BPNT2P1	BPNT2P1
ARHGEF19	ARHGEF19
ANO7L1	ANO7L1
CPLANE2	CPLANE2
MT1XP1	MT1XP1
FBXO42	FBXO42
SZRD1	SZRD1
RPL22P3	RPL22P3
SPATA21	SPATA21
NECAP2	NECAP2
LINC01772	LINC01772
CROCCP3	CROCCP3
RNU1-1	RNU1-1
LINC01783	LINC01783
RNU1-6P	RNU1-6P
PDE4DIPP8	PDE4DIPP8
RNU1-2	RNU1-2
LINC03126	LINC03126
RNU1-5P	RNU1-5P
ELOCP5	ELOCP5
CDY10P	CDY10P
EIF1AXP1	EIF1AXP1
RNU1-3	RNU1-3
RNU1-4	RNU1-4
PADI2	PADI2
USP9YP3	USP9YP3
USP9YP8	USP9YP8
CROCCP4	CROCCP4
CDY11P	CDY11P
OFD1P16Y	OFD1P16Y
LINC01300	LINC01300
GPR20	GPR20
ASTILCS	ASTILCS
PTP4A3	PTP4A3
HNRNPA1P38	HNRNPA1P38
C8orf90	C8orf90
MROH5	MROH5
NBPF1	NBPF1
RPL14P5	RPL14P5
DHRSX-IT1	DHRSX-IT1
DHRSX	DHRSX
RNU6-1004P	RNU6-1004P
ORAI1	ORAI1
LINC00685	LINC00685
MIR6089	MIR6089
LINC00102	LINC00102
Metazoa_SRP	Metazoa_SRP
FABP5P13	FABP5P13
KRT18P53	KRT18P53
SHOX	SHOX
MIR3690	MIR3690
RNA5SP498	RNA5SP498
CD99P1	CD99P1
CRLF2	CRLF2
ASMT	ASMT
ASMTL-AS1	ASMTL-AS1
MIR4740	MIR4740
MIR3186	MIR3186
LINC01971	LINC01971
ACTG1	ACTG1
LINC00106	LINC00106
LINC02968	LINC02968
BAHCC1	BAHCC1
LINC03048	LINC03048
CD99P1	CD99P1
LINC03112	LINC03112
ZBED1	ZBED1
PPP2R3B	PPP2R3B
RPL21P63	RPL21P63
GCNT2P1	GCNT2P1
C6orf52	C6orf52
CD99	CD99
Y_RNA	Y_RNA
PAK1IP1	PAK1IP1
TMEM14C	TMEM14C
PLCXD1	PLCXD1
GCNT2	GCNT2
P2RY8	P2RY8
IL3RA	IL3RA
GTPBP6	GTPBP6
SLC25A6	SLC25A6
ASMTL	ASMTL
CSF2RA	CSF2RA
RNU5B-4P	RNU5B-4P
ECSCR	ECSCR
SMIM33	SMIM33
STING1	STING1
CTBP2P1	CTBP2P1
AKAP17A	AKAP17A
AMD1P2	AMD1P2
DPH3P2	DPH3P2
ELOCP24	ELOCP24
TRPC6P1	TRPC6P1
DDX11L16	DDX11L16
WASH6P	WASH6P
WASIR1	WASIR1
IL9R	IL9R
VAMP7	VAMP7
NCOA4P4	NCOA4P4
TSPY24P	TSPY24P
ZNF92P1Y	ZNF92P1Y
SERBP1P2	SERBP1P2
TSPY12P	TSPY12P
DUX4L19	DUX4L19
OFD1P3Y	OFD1P3Y
RBMY2HP	RBMY2HP
ELOCP35	ELOCP35
SLC9B1P1	SLC9B1P1
USP12PY	USP12PY
KDM5DP1	KDM5DP1
DUX4L17	DUX4L17
ZNF736P6Y	ZNF736P6Y
TUSC2P1	TUSC2P1
PUDPP1	PUDPP1
CDRT15P10	CDRT15P10
RNF19BPY	RNF19BPY
TUBB1P2	TUBB1P2
ACTR3BP1	ACTR3BP1
RPS24P1	RPS24P1
RCC2P2	RCC2P2
ZNF736P8Y	ZNF736P8Y
BPY2	BPY2
MTND1P12	MTND1P12
CTBP2P1	CTBP2P1
MTND6P1	MTND6P1
PABPC1P5	PABPC1P5
RCC2P1	RCC2P1
SHROOM2P1	SHROOM2P1
DUX4L18	DUX4L18
ZNF736P11Y	ZNF736P11Y
BPY2DP	BPY2DP
CHEK2P1	CHEK2P1
ZNF886P	ZNF886P
OFD1P16Y	OFD1P16Y
ASS1P6	ASS1P6
SNX18P1Y	SNX18P1Y
MED14P1	MED14P1
ZNF885P	ZNF885P
ARSFP1	ARSFP1
ZNF736P7Y	ZNF736P7Y
SURF6P1	SURF6P1
ANKRD20A6P	ANKRD20A6P
RBMY2KP	RBMY2KP
TTTY19	TTTY19
TTTY4	TTTY4
MXRA5Y	MXRA5Y
DUX4L16	DUX4L16
MTCYBP1	MTCYBP1
TTTY17A	TTTY17A
AGPAT5P1	AGPAT5P1
FAM41AY1	FAM41AY1
TRIM60P3Y	TRIM60P3Y
MTND1P1	MTND1P1
PRRC2CP1	PRRC2CP1
ZNF736P10Y	ZNF736P10Y
MTND2P3	MTND2P3
ARSDP1	ARSDP1
CDY4P	CDY4P
UBE2V1P3	UBE2V1P3
FAM8A4P	FAM8A4P
TRIM60P8Y	TRIM60P8Y
MED13P1	MED13P1
CYCSP46	CYCSP46
RNU6-303P	RNU6-303P
RN7SL702P	RN7SL702P
RNA5SP520	RNA5SP520
RNA5SP521	RNA5SP521
RNU6-109P	RNU6-109P
RNU6-184P	RNU6-184P
HSFY2	HSFY2
RNA5SP266	RNA5SP266
GPM6BP2	GPM6BP2
USP9YP2	USP9YP2
ELOCP14	ELOCP14
XKRYP2	XKRYP2
USP9YP10	USP9YP10
RNU1-41P	RNU1-41P
OFD1P7Y	OFD1P7Y
MTCYBP2	MTCYBP2
ZNF839P1	ZNF839P1
CD24P4	CD24P4
RNU6-255P	RNU6-255P
GAPDHP19	GAPDHP19
CLUHP1	CLUHP1
TAF9P1	TAF9P1
CDY5P	CDY5P
ELOCP36	ELOCP36
ACTG1P2	ACTG1P2
USP9YP23	USP9YP23
USP9YP27	USP9YP27
RNU1-128P	RNU1-128P
TRAPPC2P3	TRAPPC2P3
ELOCP6	ELOCP6
CDY6P	CDY6P
USP9YP7	USP9YP7
USP9YP6	USP9YP6
CDY7P	CDY7P
USP9YP34	USP9YP34
USP9YP32	USP9YP32
CDY8P	CDY8P
ELOCP12	ELOCP12
TRAPPC2P8	TRAPPC2P8
USP9YP15	USP9YP15
RNU1-95P	RNU1-95P
USP9YP16	USP9YP16
ACTG1P11	ACTG1P11
ELOCP26	ELOCP26
CDY9P	CDY9P
TAF9P2	TAF9P2
CLUHP2	CLUHP2
RNA5SP522	RNA5SP522
RNA5SP523	RNA5SP523
TUBB1P1	TUBB1P1
ELOCP13	ELOCP13
OFD1P4Y	OFD1P4Y
RNU1-48P	RNU1-48P
USP9YP5	USP9YP5
XKRYP1	XKRYP1
ELOCP7	ELOCP7
USP9YP1	USP9YP1
GPM6BP1	GPM6BP1
RAB9AP4	RAB9AP4
TRAPPC2P7	TRAPPC2P7
HSFY1	HSFY1
TGIF2LY	TGIF2LY
CDY2A	CDY2A
ZNF736P3Y	ZNF736P3Y
TRIM60P9Y	TRIM60P9Y
RN7SKP282	RN7SKP282
Y_RNA	Y_RNA
RNU6-941P	RNU6-941P
RNU6-521P	RNU6-521P
SRIP3	SRIP3
GOT2P5	GOT2P5
ATP5PFP1	ATP5PFP1
TRIM60P10Y	TRIM60P10Y
ZNF736P2Y	ZNF736P2Y
TRIM60P11Y	TRIM60P11Y
ZNF736P1Y	ZNF736P1Y
ZNF736P5Y	ZNF736P5Y
BPY2C	BPY2C
TTTY4C	TTTY4C
DAZ4	DAZ4
ITGA9	ITGA9
RPL21P135	RPL21P135
NDUFAF4P3	NDUFAF4P3
RNU7-73P	RNU7-73P
ITGA9-AS1	ITGA9-AS1
CDY2B	CDY2B
RNU6-1334P	RNU6-1334P
SRY	SRY
TOMM22P2	TOMM22P2
RPS4Y1	RPS4Y1
NAP1L1P2	NAP1L1P2
EEF1A1P41	EEF1A1P41
PSMA6P1	PSMA6P1
SFPQP1	SFPQP1
DPPA2P1	DPPA2P1
CASKP1	CASKP1
TMSB4Y	TMSB4Y
VCY	VCY
DAZ3	DAZ3
DAZ1	DAZ1
SNORA70	SNORA70
AMELY	AMELY
TBL1Y	TBL1Y
DAZ2	DAZ2
C1R	C1R
AGKP1	AGKP1
NLGN4Y-AS1	NLGN4Y-AS1
CDY22P	CDY22P
ELOCP17	ELOCP17
OFD1P18Y	OFD1P18Y
TRAPPC2P4	TRAPPC2P4
RAB9AP3	RAB9AP3
USP9YP20	USP9YP20
RNU1-40P	RNU1-40P
USP9YP21	USP9YP21
XKRYP6	XKRYP6
ELOCP11	ELOCP11
CDY23P	CDY23P
USP9YP26	USP9YP26
HSFY8P	HSFY8P
SNORA70	SNORA70
RNU6-1314P	RNU6-1314P
CYCSP48	CYCSP48
VCY1B	VCY1B
