1:11789992-11790944  upregulated ttyh3b
1:11827800-11828387  upregulated ttyh3b
1:19397630-19398566  upregulated lap3
1:19397630-19398566  upregulated clockb
1:19664609-19665513  upregulated polr1e
1:19664609-19665513  upregulated tma16
1:21800101-21801003  upregulated zcchc7
1:26161377-26162490  upregulated mtap
1:29814559-29815467  upregulated raph1b
1:29812662-29813580  upregulated raph1b
1:29814559-29815467  upregulated zic2b
1:29812662-29813580  upregulated zic2b
1:29814559-29815467  upregulated pcca
1:29812662-29813580  upregulated pcca
1:35930949-35931862  upregulated smad1
1:35930949-35931862  upregulated mmaa
1:38687772-38688659  upregulated gpm6ab
1:40827344-40828236  upregulated hmx4
1:40832325-40833308  upregulated hmx4
1:40926845-40927749  upregulated hmx4
1:40886441-40887345  upregulated hmx4
1:40914262-40915151  upregulated hmx4
1:40910868-40911714  upregulated hmx4
1:40920213-40921112  upregulated hmx4
1:40827344-40828236  upregulated hmx1
1:40832325-40833308  upregulated hmx1
1:40926845-40927749  upregulated hmx1
1:40886441-40887345  upregulated hmx1
1:40914262-40915151  upregulated hmx1
1:40910868-40911714  upregulated hmx1
1:40920213-40921112  upregulated hmx1
1:5523827-5524794  upregulated atic
1:945891-946778  upregulated gart
1:899682-900575  upregulated gart
1:933173-934106  upregulated gart1:29814559-29815467 peak within reach of gene downregulated raph1b
1:29812662-29813580  downregulated raph1b
1:42724522-42725461  downregulated ctnna2
1:42589684-42590570  downregulated ctnna2
1:42514575-42515482  downregulated ctnna2
1:42792377-42793253  downregulated ctnna2
