fam162a	Fam162b
caly	Caly
tmem177	Tmem177
ostc	Ostc
vps37c	Vps37c
rab9b	Rab9b
tppp3	Tppp3
slc39a9	Slc39a9
mtx1b	Mtx1
gpkow	Gpkow
samd4a	Samd4
dync2i2	Dync2i2
gria3a	Gria3
eml5	Eml5
creb3l1	Creb3l1
cdc42	Cdc42
syt2a	Syt2
adamts13	Adamts13
gnal	Gnal
tmem240a	Tmem240
foxo3a	Foxo6
osmr	Lifr
parvg	Parvg
dnah3	Dnah3
ap5b1	Ap5b1
nhej1	Nhej1
nlgn3b	Ces5a
nlgn3b	Ces1f
nlgn3b	Ces1e
nlgn3b	Ces1a
nlgn3b	Ces4a
nlgn3b	Ces1d
nlgn3b	Ces1b
nlgn3b	Ces1c
nlgn3b	Ces1g
nlgn3b	Ces1h
nlgn3b	Ces2h
nlgn3b	Ces2b
nlgn3b	Ces2c
nlgn3b	Ces2g
nlgn3b	Ces2a
nlgn3b	Ces2e
nlgn3b	Ces2f
pitpnaa	Pitpna
ctu1	Ctu1
stx5al	Stx5a
kif7	Kif7
narf	Narf
nrap	Nrap
gpr155a	Gpr155
snx27b	Snx27
alcamb	Alcam
hamp	Hamp2
hamp	Hamp
nt5c1ba	Nt5c1b
araf	Araf
isca2	Isca2
rptor	Rptor
ints15	Ints15
camkva	Camkv
plod2	Plod2
tmem54b	Tmem54
rpgrb	Rpgr
crfb16	Il22ra1
crfb16	Il10ra
crfb16	Ifnar2
crfb16	Ifngr1
tor1	Tor1b
tor1	Tor1a
flrt2	Flrt2
rasgef1bb	Rasgef1b
pxmp2	Pxmp2
tmem214	Tmem214
fa2h	Fa2h
ndufb7	Ndufb7
ctdp1	Ctdp1
ankhd1	Ankhd1
cyp27b1	Cyp27b1
si:ch73-281i18.6	Map7d1
slc7a10a	Slc7a10
mrpl51	Mrpl51
frs2a	Frs2
usp43b	Usp43
usp3	Usp3
hmgcs1	Hmgcs1
ugt5c3	Ugt2a3
ugt5c3	Ugt1a6a
ugt5c3	Ugt1a6b
ugt5c3	Ugt1a2
ugt5c3	Ugt1a5
ugt5c3	Ugt1a8
ugt5c3	Ugt1a7c
ugt5c3	Ugt1a10
ugt5c3	Ugt1a9
ugt5c3	Ugt2a2
ugt5c3	Ugt2a1
sgms2a	Sgms2
hapln4	Hapln4
olig3	Olig3
zgc:171695	Septin14
tafa1a	Tafa1
ankef1a	Ankef1
crfb4	Il10rb
vmo1a	Vmo1
lsm11	Lsm11
cdk5	Cdk5
si:ch211-183d5.1	Helz2
lonrf1	Lonrf1
prf1.2	Prf1
hoxb3a	Hoxb3
slc16a5a	Slc16a5
gpr176	Gpr176
fhl2a	Fhl2
golph3l	Golph3l
iqch	Iqch
tdrd6b	Tdrd6
shpk	Shpk
gfi1ab	Gfi1
pdyn	Pdyn
b3gnt3.3	B3gnt3
agtr1b	Agtr1a
agtr1b	Agtr1b
tfdp1a	Tfdp1
ss18l2	Ss18l2
use1	Use1
fes	Fes
idh3b	Idh3b
irf4a	Irf4
gpr183b	Gpr183
cdh18a	Cdh18
mtg2	Mtg2
pkig	Pkig
mief2	Mief2
boka	Bok
si:ch211-129o18.4	Gm572
srcin1a	Srcin1
alkbh6	Alkbh6
tnnt2b	Tnnt2
setbp1	Setbp1
dusp23a	Dusp23
henmt1	Henmt1
zgc:109986	2700097O09Rik
prkag1	Prkag1
pip4p1a	Pip4p1
med6	Med6
ak9	Ak9
gab2	Gab2
C18H19orf12	1600014C10Rik
nav2a	Nav2
ube2l3b	Ube2l3
acvr1bb	Acvr1b
gpr101	Gpr101
chchd10	Chchd10
yipf3	Yipf3
klf17	Zfp352
klf17	Klf14
klf17	Klf17
gfra2b	Gfra2
arap3	Arap3
chchd6a	Chchd6
arl8a	Arl8a
itgb7	Itgb7
dgkzb	Dgkz
rtraf	Rtraf
acmsd	Acmsd
atoh8	Atoh8
pdcd7	Pdcd7
qrfpra	Qrfprl
qrfpra	Qrfpr
pcdh15a	Pcdh15
itga8	Itga8
