MT-ND1	mt-Nd1
MT-ND2	mt-Nd2
MT-CO1	mt-Co1
MT-CO2	mt-Co2
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-ND3	mt-Nd3
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-CYB	mt-Cytb
U6	Gm22279
U6	Gm54642
5_8S_rRNA	Gm54867
5_8S_rRNA	Gm55073
MAFIP	Tekt4
U2	Gm23788
U1	Gm25115
U2	Gm23788
RNU6-303P	Gm22305
HSFY2	Hsfy2
HSFY1	Hsfy2
TGIF2LY	Tgif2lx1
TGIF2LY	Tgif2lx2
CDY2A	Cdyl
CDY2B	Cdyl
SRY	Sry
TMSB4Y	Tmsb4x
TBL1Y	Tbl1x
RNU6-1314P	Gm22281
RNU2-57P	Gm26020
PCDH11Y	Pcdh11x
CDY1B	Cdyl
CDY1	Cdyl
RBMY1B	Rbmyf9
RBMY1B	Rbmyf8
RBMY1B	Rbmyf4
RBMY1B	Rbmyf5
RBMY1B	Rbmyf7
RBMY1B	Rbmyf2
RBMY1B	Rbmyf6
RBMY1B	Rbmyf3
RBMY1B	Rbmy
RBMY1B	Rbmyf1
RBMY1A1	Rbmyf9
RBMY1A1	Rbmyf8
RBMY1A1	Rbmyf4
RBMY1A1	Rbmyf5
RBMY1A1	Rbmyf7
RBMY1A1	Rbmyf2
RBMY1A1	Rbmyf6
RBMY1A1	Rbmyf3
RBMY1A1	Rbmy
RBMY1A1	Rbmyf1
RBMY1D	Rbmyf9
RBMY1D	Rbmyf8
RBMY1D	Rbmyf4
RBMY1D	Rbmyf5
RBMY1D	Rbmyf7
RBMY1D	Rbmyf2
RBMY1D	Rbmyf6
RBMY1D	Rbmyf3
RBMY1D	Rbmy
RBMY1D	Rbmyf1
RBMY1E	Rbmyf9
RBMY1E	Rbmyf8
RBMY1E	Rbmyf4
RBMY1E	Rbmyf5
RBMY1E	Rbmyf7
RBMY1E	Rbmyf2
RBMY1E	Rbmyf6
RBMY1E	Rbmyf3
RBMY1E	Rbmy
RBMY1E	Rbmyf1
RBMY1F	Rbmyf9
RBMY1F	Rbmyf8
RBMY1F	Rbmyf4
RBMY1F	Rbmyf5
RBMY1F	Rbmyf7
RBMY1F	Rbmyf2
RBMY1F	Rbmyf6
RBMY1F	Rbmyf3
RBMY1F	Rbmy
RBMY1F	Rbmyf1
RBMY1J	Rbmyf9
RBMY1J	Rbmyf8
RBMY1J	Rbmyf4
RBMY1J	Rbmyf5
RBMY1J	Rbmyf7
RBMY1J	Rbmyf2
RBMY1J	Rbmyf6
RBMY1J	Rbmyf3
RBMY1J	Rbmy
RBMY1J	Rbmyf1
NLGN4Y	Nlgn4l
DDX3Y	Ddx3y
USP9Y	Usp9y
UTY	Uty
KDM5D	Kdm5d
EIF1AY	Eif1ad14
EIF1AY	Eif1ad18
EIF1AY	Eif1ad17
EIF1AY	Eif1ad8
EIF1AY	Eif1ad16
EIF1AY	Eif1a
EIF1AY	Eif1ad6
EIF1AY	Eif1ad13
EIF1AY	Eif1ad11
EIF1AY	Eif1ad7
EIF1AY	Eif1ad19
EIF1AY	Eif1ad3
EIF1AY	Eif1ad12
EIF1AY	Eif1ad2
