mt-nd1	MT-ND1
mt-nd2	MT-ND2
mt-co1	MT-CO1
mt-co2	MT-CO2
mt-atp6	MT-ATP6
mt-co3	MT-CO3
mt-nd3	MT-ND3
mt-nd4	MT-ND4
mt-nd5	MT-ND5
mt-nd6	MT-ND6
mt-cyb	MT-CYB
TNPO2	TNPO2
tmem183a	TMEM183A
casp9	CASP9
aph1b	APH1B
FH	FH
TNPO2	TNPO2
tcp11l1	TCP11L1
lnx1	LNX1
vdac3	VDAC3
fam32a	FAM32A
dnajc16	DNAJC16
scfd2	SCFD2
rln3b	RLN3
enkd1	ENKD1
ppfia4	PPFIA4
slc8a2b	SLC8A2
mrpl12	MRPL12
polb	POLB
rasl11b	RASL11B
rfx1b	RFX1
mtcl2	MTCL2
ptpn11a	PTPN11
DSCAML1	DSCAML1
gemin6	GEMIN6
dcaf15	DCAF15
usp46	USP46
osbpl2b	OSBPL2
fstl5	FSTL5
wt1a	WT1
khsrp	KHSRP
sos1	SOS1
hgs	HGS
dynll1	DYNLL1
tmed2	TMED2
bsna	BSN
scn4bb	SCN4B
sh3rf1	SH3RF1
actn4	ACTN4
hspb9l	HSPB9
rpl6	RPL6
tmem178a	TMEM178A
slc25a23a	SLC25A23
rapgef2b	RAPGEF2
pvrl2l	TIGIT
pvrl2l	PVR
pvrl2l	NECTIN2
pvrl2l	NCR3
acaa2	ACAA2
palld	PALLD
pkmyt1	PKMYT1
mettl9	METTL9
ELOB	ELOB
itga6a	ITGA6
tubb2	TUBB2B
tubb2	TUBB2A
pacsin3	PACSIN3
kdelr2b	KDELR2
TGFB1I1	TGFB1I1
aldh1l2	ALDH1L2
cbr4	CBR4
eif4a3	EIF4A3
PITPNB	PITPNB
atp1a3a	ATP13A5
atp1a3a	ATP2B2
atp1a3a	ATP13A4
atp1a3a	ATP1A4
atp1a3a	ATP2C2
mrpl54	MRPL54
anapc4	ANAPC4
si:ch211-196h16.12	RGS21
myog	MYOG
ppp1r14c	PPP1R14C
mrpl40	MRPL40
patl2	PATL2
naa25	NAA25
rsad1	RSAD1
iyd	IYD
paqr4b	PAQR4
zgc:136864	C19orf53
adgrb1a	ADGRB1
sec63	SEC63
ero1a	ERO1A
pelo	PELO
brap	BRAP
si:ch211-51h9.6	C22orf39
epn3a	EPN3
samd4a	SAMD4A
wdr45b	WDR45B
ufd1l	UFD1
mri1	MRI1
erf	ERF
pdk1	PDK1
uba6	UBA6
CSNK2A2	CSNK2A2
tor4aa	TOR4A
cica	CIC
CC2D1A	CC2D1A
zgc:56235	VDAC3
foxk2a	FOXK2
nfat5b	NFAT5
EOLA2	EOLA1
EOLA2	EOLA2
pafah1b2	PAFAH1B2
gsk3aa	GSK3A
gch1	GCH1
SLC25A1	SLC25A1
alg13	ALG13
slain2	SLAIN2
znf319b	ZNF319
znfx1	ZNFX1
fn3krp	FN3KRP
scml4	SCML4
usb1	USB1
kars1	KARS1
ndufb9	NDUFB9
TNS3	TNS3
zgc:85932	CAPNS2
lratd1	LRATD1
aars2	AARS2
pla2g15	PLA2G15
wdhd1	WDHD1
cdh22	CDH22
tagln2	TAGLN
adprm	ADPRM
tmem115	TMEM115
dhx37	DHX37
atp2a1l	ATP1A4
bmp8a	BMP8B
bmp8a	BMP8A
eif3k	EIF3K
nanos3	NANOS3
