marchf1	36951
LOC129167213	41153
marchf4b	38047
marchf6	38777
septin6	38961
marchf7	39142
fam171b	FAM171B
septin7	39326
marchf8	39508
LOC107385650	39873
septin10	40422
marchf11	40603
septin12	41153
selenof	SELENOF
a1cf	A1CF
aaas	AAAS
aadat	AADAT
prxl2c	AAED1
aagab	AAGAB
aak1b	AAK1
aak1a	AAK1
aamdc	AAMDC
aamp	AAMP
aanat1	AANAT
LOC107376253	AANAT
LOC107382434	AANAT
aar2	AAR2
aars1	AARS2
aars2	AARS2
aarsd1	PTGES3L-AARSD1
ptges3l	PTGES3L-AARSD1
aasdh	AASDH
aasdhppt	AASDHPPT
aass	AASS
aatf	AATF
LOC107378275	AATK
aatkb	AATK
abat	ABAT
abca12	ABCA12
LOC107391047	ABCA1
abca1b	ABCA1
abca3b	ABCA3
LOC107382716	ABCA7
abca5	ABCA9
abcb10	ABCB10
abcb11b	ABCB11
tap2a	ABCB9
abcb4	ABCB4
abcb6a	ABCB6
abcb7	ABCB7
abcb8	ABCB8
abcb9	ABCB9
abcc10	ABCC10
abcc12	ABCC12
abcc2	ABCC2
abcc3	ABCC3
abcc4	ABCC4
abcc6a	ABCC6
abcc8	ABCC8
abcc9	ABCC9
abcd1	ABCD2
LOC107383666	ABCD2
abcd3a	ABCD3
abcd4	ABCD4
abce1	ABCE1
abcf1	ABCF3
abcf2b	ABCF2
abcf3	ABCF3
abcg4a	ABCG4
abcg5	ABCG5
abcg8	ABCG8
LOC107377588	ABHD1
abhd10b	ABHD10
abhd11	ABHD11
abhd12	ABHD12
LOC107391948	ABHD12B
LOC107375545	ABHD12B
abhd13	ABHD13
abhd14a	ABHD14A
abhd14b	ABHD14A
abhd16a	ABHD17B
LOC107376844	ABHD2
abhd2b	ABHD2
abhd3	ABHD3
abhd4	ABHD5
abhd5a	ABHD5
LOC107383196	ABHD5
abhd6b	ABHD6
LOC107396936	ABHD8
abi1a	ABI1
LOC107384312	ABI1
LOC107389593	ABI2
abi3a	ABI3
abi3b	ABI3
abi3bpb	ABI3BP
LOC107389753	ABI3BP
abl1	ABL1
abl2	ABL2
LOC107375405	ABLIM1
LOC107388069	ABLIM1
LOC107386751	ABLIM3
aoc1	AOC1
abr	ABR
abrab	ABRA
abt1	ABT1
abtb1	ABTB1
LOC107381557	ABTB2
abtb2b	ABTB2
acaa1	ACAA1
acaa2	ACAA2
acaca	ACACA
acacb	ACACB
LOC107372609	ACAD11
acad8	ACAD8
acad9	ACAD9
acadl	ACADL
acadm	ACADM
acads	ACADS
acadsb	ACADSB
acadvl	ACADVL
LOC107382072	ACAN
acanb	ACAN
acap1	ACAP1
acap2b	ACAP2
LOC107374920	ACAP3
LOC107385549	ACAP3
acat1	ACAT2
acat2	ACAT2
acbd3	ACBD3
acbd5a	ACBD5
LOC107384316	ACBD5
acbd6	ACBD6
accs	ACCS
LOC107373083,LOC107373324,LOC107374473,LOC107374589,LOC129152301	ACE
ace	ACE
ace2	ACE2
acer1	ACER1
acer3	ACER3
ache	ACHE
acin1a	BAZ2B
LOC107374270	KIAA1671
acin1b	BAZ2B
aclya,aclyb	ACLY
aclya	ACLY
acmsd	ACMSD
sdhaf3	SDHAF3
aco1	ACO1
aco2	ACO2
LOC107384368	ACOT11
acot11b	ACOT11
LOC107377822	ACOT1
acot7	ACOT7
acot8	ACOT8
acot9.1	ACOT9
acox1	ACOX1
acox3	ACOX3
acp1	ACP1
acp2	ACP2
acp5a	ACP5
acp6	ACP6
pxylp1	PXYLP1
LOC107388013	ACP2
gcna	ACRC
acsbg2	ACSBG2
acsf2	ACSF2
LOC107393615	ACSF2
acsl1a	ACSL1
acsl3b	ACSL3
acsl4a	ACSL4
acsl5	ACSL5
acsl6	CTB-127M13.1
LOC107377574	VSX1
acss2	ACSS2
acss3	ACSS3
actl6a	ACTL6A
actn1	ACTN1
actn2b	ACTN2
actn3b	ACTN2
actn4	ACTN1
actr1b	ACTR1B
actr10	ACTR10
LOC107376067,zgc:101810	ACTR2
LOC107377239,LOC107382736	ACTR3
actr6	ACTR6
actr8	ACTR8
LOC107390086	ACVR1
acvr1ba	ACVR1B
LOC107384683	ACVR2A
LOC107373611	ACVR2B
LOC107383557	ACVR2B
acvrl1	ACVRL1
LOC107385138	ACY1
LOC107375298	ASPA
LOC107377364	ASPA
LOC139061482	ACYP2
ada	ADA
