fam162a	FAM162B
caly	CALY
tmem177	TMEM177
ostc	OSTC
vps37c	VPS37C
rab9b	RAB9B
tppp3	TPPP3
slc39a9	SLC39A9
kif16bb	KIF16B
mtx1b	MTX1
gpkow	GPKOW
samd4a	SAMD4A
dync2i2	DYNC2I2
gria3a	GRIA3
eml5	EML5
creb3l1	CREB3L1
cdc42	CDC42
syt2a	SYT2
adamts13	ADAMTS13
gnal	GNAL
tmem240a	TMEM240
foxo3a	FOXO6
osmr	LIFR
parvg	PARVG
dnah3	DNAH3
ap5b1	AP5B1
nhej1	NHEJ1
nlgn3b	CES5A
nlgn3b	CES4A
nlgn3b	CES1
nlgn3b	CES2
pitpnaa	PITPNA
ctu1	CTU1
stx5al	STX5
kif7	KIF7
narf	NARF
nrap	NRAP
gpr155a	GPR155
snx27b	SNX27
alcamb	ALCAM
hamp	HAMP
nt5c1ba	NT5C1B
araf	ARAF
isca2	ISCA2
rptor	RPTOR
ints15	INTS15
camkva	CAMKV
plod2	PLOD2
tmem54b	TMEM54
rpgrb	RPGR
crfb16	IL22RA1
crfb16	IL10RA
crfb16	IFNAR2
crfb16	IFNGR1
tor1	TOR1A
tor1	TOR1B
flrt2	FLRT2
rasgef1bb	RASGEF1B
pxmp2	PXMP2
tmem214	TMEM214
fa2h	FA2H
ndufb7	NDUFB7
ctdp1	CTDP1
ankhd1	ANKHD1
cyp27b1	CYP27B1
si:ch73-281i18.6	MAP7D1
slc7a10a	SLC7A10
mrpl51	MRPL51
frs2a	FRS2
usp43b	USP43
usp3	USP3
hmgcs1	HMGCS1
ugt5c3	UGT3A1
ugt5c3	UGT2A3
ugt5c3	UGT2B11
ugt5c3	UGT2B28
ugt5c3	UGT2B10
ugt5c3	UGT1A6
ugt5c3	UGT1A5
ugt5c3	UGT1A4
ugt5c3	UGT1A3
ugt5c3	UGT1A8
ugt5c3	UGT1A10
ugt5c3	UGT1A7
ugt5c3	UGT1A9
ugt5c3	UGT2B7
ugt5c3	UGT2B4
ugt5c3	UGT2A2
ugt5c3	UGT2A1
ugt5c3	UGT2B15
ugt5c3	UGT2B17
sgms2a	SGMS2
hapln4	HAPLN4
olig3	OLIG3
zgc:171695	SEPTIN14
tafa1a	TAFA1
ankef1a	ANKEF1
crfb4	IL10RB
vmo1a	VMO1
lsm11	LSM11
cdk5	CDK5
si:ch211-183d5.1	HELZ2
lonrf1	LONRF1
prf1.2	PRF1
hoxb3a	HOXB3
slc16a5a	SLC16A5
gpr176	GPR176
fhl2a	FHL2
golph3l	GOLPH3L
iqch	IQCH
tdrd6b	TDRD6
shpk	SHPK
gfi1ab	GFI1
pdyn	PDYN
b3gnt3.3	B3GNT3
agtr1b	AGTR1
tfdp1a	TFDP1
ss18l2	SS18L2
use1	USE1
fes	FES
zgc:123103	CTSV
zgc:123103	CTSL
idh3b	IDH3B
irf4a	IRF4
gpr183b	GPR183
cdh18a	CDH18
mtg2	MTG2
pkig	PKIG
mief2	MIEF2
boka	BOK
si:ch211-129o18.4	CIROZ
srcin1a	SRCIN1
alkbh6	ALKBH6
tnnt2b	TNNT2
setbp1	SETBP1
dusp23a	DUSP23
henmt1	HENMT1
prkag1	PRKAG1
pip4p1a	PIP4P1
med6	MED6
ak9	AK9
gab2	GAB2
C18H19orf12	C19orf12
nav2a	NAV2
ube2l3b	UBE2L3
ube2l3b	UBE2L5
acvr1bb	ACVR1B
gpr101	GPR101
chchd10	CHCHD10
yipf3	YIPF3
klf17	KLF18
klf17	KLF14
klf17	KLF17
gfra2b	GFRA2
arap3	ARAP3
chchd6a	CHCHD6
arl8a	ARL8A
itgb7	ITGB7
dgkzb	DGKZ
rtraf	RTRAF
acmsd	ACMSD
atoh8	ATOH8
pdcd7	PDCD7
qrfpra	QRFPR
pcdh15a	PCDH15
itga8	ITGA8
cdk5rap2	CDK5RAP2
slc15a4	SLC15A4
dok2	DOK2
cacng7a	CACNG7
p2ry8	P2RY8
slc24a5	SLC24A5
fsta	FST
srbd1	SRBD1
