mt-nd1	mt-Nd1
mt-nd2	mt-Nd2
mt-co1	mt-Co1
mt-co2	mt-Co2
mt-atp6	mt-Atp6
mt-co3	mt-Co3
mt-nd3	mt-Nd3
mt-nd4	mt-Nd4
mt-nd5	mt-Nd5
mt-nd6	mt-Nd6
mt-cyb	mt-Cytb
tox2	Tox2
otud5b	Otud5
plod1a	Plod1
mthfr	Mthfr
shisa4	Shisa4
ccdc22	Ccdc22
prelid3b	Prelid3b
si:dkeyp-104h9.5	2510039O18Rik
shmt2	Shmt2
lama5	Lama5
arid3a	Arid3a
atp6v0d1	Atp6v0d1
dlx1a	Dlx1
suv39h1a	Suv39h1
r3hdm2	R3hdm2
foxr1	Foxr2
si:ch73-40i7.5	Apba3
gli1	Gli1
ndufa7	Ndufa7
arfgap2	Arfgap2
dcaf17	Dcaf17
ARHGAP9	Arhgap9
klhl26	Klhl26
crtc1b	Crtc1
mars1	Mars1
gad1a	Gad1
tmem38a	Tmem38a
ddit3	Ddit3
myo3b	Myo3b
smim7	Smim7
ubr3	Ubr3
KIF5A	Kif5a
lctla	Lctl
soat2	Soat2
opa1	Opa1
sarm1	Sarm1
cavin2a	Cavin2
cavin2a	Cavin3
PFN2	Pfn2
mfsd8l1	Mfsd10
ccdc92ba	Ccdc92b
polr2h	Polr2h
eif4g2a	Eif4g2
adgrg7.1	Adgrg7
adma	Adm
srek1ip1	Srek1ip1
mnta	Mnt
septin4b	Septin4
senp7b	Senp7
mir181b-3	Mir181b-2
GPR180	Gpr180
tgds	Tgds
syt9b	Syt9
kif14	Kif14
HRH1	Hrh1
ciao1	Ciao1
man1a2	Man1a2
tent5c	Tent5c
tmem230b	Tmem230
fam184aa	Fam184a
gdap2	Gdap2
slc1a2b	Slc1a2
pdhx	Pdhx
dennd5a	Dennd5a
vps33a	Vps33a
iffo2b	Iffo2
ehf	Ehf
errfi1a	Errfi1
zranb2	Zranb2
DPP10	Dpp10
qtrt1	Qtrt1
itpr2	Itpr2
slc17a8	Slc17a8
med22	Med22
acvr1	Acvrl1
nprl2	Nprl2
scube1	Scube1
polr3b	Polr3b
strn4	Strn4
tcf19l	Tcf19
fkrp	Fkrp
stxbp2	Stxbp2
zmynd10	Zmynd10
antxr1a	Antxr1
max	Max
ndufb4	Ndufb4
ola-mir-183-1	Mir183
trh	Trh
pcsk6	Pcsk6
ankzf1	Ankzf1
tor2a	Tor2a
cnot6l	Cnot6l
prkcg	Prkcg
prkcg	Pkn3
cped1	Cped1
cebpa	Cebpa
svopl	Svopl
taco1	Taco1
pfkla	Pfkl
cux1a	Cux1
stmp1	Stmp1
golga7ba	Golga7b
ndufa4b	Ndufa4
sfxn3	Sfxn3
hbs1l	Hbs1l
tmc4	Tmc4
eeig1a	Eeig1
r3hcc1l	R3hcc1l
poldip3	Poldip3
tfeb	Tfeb
mapk8ip2	Mapk8ip2
dpp7	Dpp7
nol12	Nol12
whrnb	Whrn
mcm2	Mcm2
GHRHR	Ghrhr
otol1b	Otol1
ccdc134	Ccdc134
tlcd4a	Tlcd4
ngfrb	Ngfr
prmt2	Prmt2
kctd6b	Kctd6
kdelr3	Kdelr3
kpna4	Kpna4
morn5	Morn5
abhd6b	Abhd6
stag2a	Stag2
smarcd2	Smarcd2
psmc5	Psmc5
dyrk3	Dyrk3
